Appendix S1. Occurrence data for the 73 sarcophagid species used in this study . Empty cells are missing data (i.e. were absent in specimens labels or method description).,,,,,,,,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,,Method (Collecting information),Determiner,Collector,Data,Reference,Remarks,Original genus,Original species,Modified,Source of data,Qualifier ,Uncertanty (m),Coordinate validity,Equal longitude and latitude ,Plain zeros 
Brasil,SP,Mogi das Cruzes,Tapanhaú,-23.56958,-46.18607,Lipoptilocnema crispina,, ,H.S. Lopes,A. Moreira,25.xii.1964 - 11.i.1965, , ,Lipoptilocnema,crispina,no,MZUSP,Poor,15.06,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Lipoptilocnema crispina,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Lipoptilocnema,crispina,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,GO,Corumbá de Goiás, ,-15.93029,-48.67946,Lipoptilocnema crispula,, ,H.S. Lopes,M.P. Parretto,ii.1946, , ,Lipoptilocnema,crispula,no,MZUSP,Poor,18.39,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Lipoptilocnema crispula,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Lipoptilocnema,crispula,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,ES,Colatina,Itapina,-19.48626,-40.65559,Lipoptilocnema crispula,, ,H.S. Lopes,P.C. Elias,xi.1970, , ,Lipoptilocnema,crispula,no,MZUSP,Poor,21.24,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Lipoptilocnema crispina,, ,H.S. Lopes,H.S. Lopes,6.vi.1971, , ,Lipoptilocnema,crispina,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
Brasil,RJ,Petrópolis,Taquara,-22.39855,-43.15731,Lipoptilocnema crispina,, ,H.S. Lopes, , , , ,Lipoptilocnema,crispina,no,MZUSP,Poor,15.92,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Corcovado,-22.95,-43.22,Lipoptilocnema crispina,, ,H.S. Lopes,L.T. & C. Luisa,iii.1934, ,Parátipo; 74,Sarcophaga,crispina,yes,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Lipoptilocnema crispula,, ,H.S. Lopes,H.S. Lopes,2.xi.1972, , ,Lipoptilocnema,crispula,no,MZUSP,Poor,19.55,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Lipoptilocnema crispula,, ,H.S. Lopes,H.S. Lopes,12.xi.1972, , ,Lipoptilocnema,crispula,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
